"","NOS.NS.1","NOS.NS.2","NOS.NS.3","NOS.LA.1","NOS.LA.2","NOS.LA.3","S.NS.1","S.NS.2","S.NS.3","S.LA.1","S.LA.2","S.LA.3"
"241504_at",4.05302808048564,4.4805794523991,4.45044835358095,4.22374663624115,4.05454845830393,4.58141782609743,4.48949572233766,4.17668675070196,4.16606875559093,3.94538680607668,4.420630632018,4.68252522367758
"215683_at",4.99214485763583,5.53868114186623,5.37960309448461,5.17009809085818,5.59795650045811,5.36433560926162,5.10701745311967,5.54936881073387,5.23896033412041,4.9281632376428,5.33413726974311,5.56010078411149
"228773_at",5.56813593233152,5.65480280149927,6.40774840436626,5.76440015191954,5.5516239612056,6.09029137343676,5.72292938784612,5.68304032432786,6.16946012506458,5.72074317741277,5.82747380703959,6.27812031721313
"229296_at",6.05108117674021,6.58819622051837,6.79456868838703,6.30808494889658,6.25023947209802,6.79640672634346,6.38443604193447,6.55461509885948,6.90203492667043,6.50238265565925,6.45933835891736,6.79759487898494
"1561228_at",3.52111292573466,3.39423496492996,3.73955923218987,3.15146132390509,3.227172105084,3.58936594198831,3.26697311940748,3.11501985531097,3.82216047506203,2.93449551933199,3.30308788533473,3.71538097179068
"217625_x_at",5.92897838265556,6.51680229583393,5.68753566432436,5.89883077447716,6.24491577852895,5.78651932165312,6.33620023159506,6.27925678562769,5.88120756827212,6.07514854789943,6.147168361507,5.79884921237685
"228643_at",4.18166145446232,3.30913268911073,3.11561456447935,3.37338431724995,3.7399360878825,2.67125757240775,3.37175501520243,2.78682551746997,2.84403621724126,3.64837192718805,2.89415659146302,3.68573919223683
"1557051_s_at",6.61128390030949,6.52545246426611,6.35057806339898,6.48823987687867,6.12112834239629,5.84293828404152,6.02503048092673,6.74677588225679,6.03224516356171,6.25997794755627,6.04480299381577,6.18878981252827
"236036_at",4.74575718924787,4.88059204856391,5.22496913967675,4.83853229098502,4.83486860450396,5.3750609427971,4.85904406737692,4.59298678913747,5.21883212018367,4.59160419900283,4.76391039686494,5.38981854411362
"226341_at",6.62142446677631,5.86313409253161,5.97748360583796,5.83097375874736,6.22830961939519,5.2714325673112,6.09926715874523,5.79238940850516,5.45944257599998,6.0256898167164,5.9036552504178,4.97591992014742
"236958_at",5.11318888835016,5.50579551824313,5.84632519137129,5.50828809055754,5.60520829942323,5.82657433985252,5.15014035712961,5.54959340311247,5.67447905709296,5.01375232567108,5.49543127290658,5.59955707305219
"1560131_at",4.62731107927259,5.0219714997872,5.19537996834337,5.29351371842372,4.71469111119317,5.66250873406514,4.7469906045238,4.83126600447066,5.45997342931736,4.6807642023005,4.68015421061102,5.56697468127815
"220846_s_at",4.89046573711384,5.1396005249577,4.82561793368604,5.15940244888661,5.08856380072817,5.357509412118,5.20379085908113,5.10346354818723,5.60053322857623,4.85022987104462,5.30995783201439,5.50336086435186
"236323_at",3.06628052853827,4.13790860740503,3.96793154395829,3.74441261330758,3.79064023576578,3.80978076327019,3.51080711847985,3.78857823585551,4.06418640827817,3.54596004838519,3.95726657382164,4.0098181060232
"225640_at",9.7684398392464,9.07555405459334,8.57447458250454,9.55084787562404,9.40242746839818,8.57777624540528,9.09913541562928,9.15945509067596,8.38795963891397,9.32586719363228,9.11408298513888,8.94208763547827
"240233_at",4.83127385183808,5.49079938091493,5.57278505302456,5.24840306267485,5.67001809163103,5.85548783653995,5.40897186725762,5.59707585644592,5.88156173432702,5.15444589008333,5.87823495290364,5.49197788903838
"229781_at",3.56675799392198,3.88705901669537,4.53671543223338,3.74398408164607,3.79899641366134,4.73502837776006,4.02575189081512,3.86143623742647,4.501825261732,3.68078040126325,4.28510246371126,4.61841964423932
"241234_at",5.0466343086735,5.44234865697118,5.5162576755278,4.96211290014547,5.48861599490308,5.69653073266576,5.21503545949366,5.17720448353651,6.01701191483777,5.01826192234539,5.22338889706441,5.96924606999316
"230460_at",4.98472999925097,5.15575723387939,5.40811714078244,5.5171727018389,5.23562100636438,5.66734336191159,4.93984889166527,5.07370613384659,5.56697468127815,5.03967812582044,5.04464012052486,5.76652776455677
"238716_at",5.75873673723525,5.93775744860279,5.55191251157592,5.56960911610662,6.05065384324843,5.46188784726204,5.94214094076849,5.71601694906245,5.09503268819117,6.24568323231155,5.74350293275474,5.29866693645708
"232527_at",8.76496054796522,8.34813866040324,8.40103064323201,8.58013867157168,7.97172802697994,8.49287989962313,7.93819565711989,8.52698526389683,8.50399097092393,7.94084686902376,8.02227408778015,8.39104289449857
"1562263_at",4.69652069337837,4.95772755184769,4.93381500914064,4.72405041368072,4.78346399315765,5.00774298915135,4.52468688315656,4.53917834332276,5.29938680803613,4.3538371234011,4.62945771020085,5.1477326687354
"1556387_at",2.63015263914428,2.85709088758506,3.32212284872191,2.69202928908976,2.70461218969147,3.3270073906631,2.90503357078212,2.37960037578786,3.05721283893232,2.64947866122375,2.5459842795164,3.20620660711854
"231607_at",2.97429504163694,3.09747296647451,3.11814031436084,3.5188741435819,3.03274968059171,3.89575286130279,3.45925078093424,3.27260012146591,3.67917996285637,3.26397126960738,3.36120605930991,3.88714471536394
"229006_at",5.17151359173314,5.23770097205997,5.78950355014604,5.24840306267485,5.53929026797747,6.05207212243204,5.24677372794882,5.71159738225944,5.66638418611185,5.26566483686839,5.33469806682025,5.49634247029565
"236520_at",4.12231766654161,3.76557659725498,4.1743411621,4.11796505329622,4.06153007931233,4.06828881820014,3.5811065269471,4.28519773762332,3.92377261758988,4.00460113696484,3.68509280834332,3.48995329216712
"230279_at",5.06778048685916,5.30448940319027,5.80548521924328,4.64689503903663,4.98132038471792,5.56950800332485,5.24013932936099,5.41485318390319,5.87810263305182,5.18534183617422,5.06030314085318,5.51400402159663
"241745_at",5.0445307117009,4.88364149509462,4.81164146591537,4.56169656904655,5.29291547446145,4.85791349421222,5.01497825827826,4.55373012600718,5.09549967787995,4.84136171070481,4.57138770474575,4.70618992237042
"1556048_at",4.87498172058642,4.66708038344881,4.57427456855157,4.52056366413531,4.75360983616612,4.28568182778146,4.06832171318443,4.47474909047849,4.84661556363922,4.00672513054091,4.67110313513191,4.20665162996763
"243813_at",4.29916527988826,4.24021468583377,4.08908751239526,3.77922016345865,4.59821479124441,4.00517606827374,3.82635126502889,3.72997282264633,4.04512903927958,4.39216011582276,4.30709552535711,3.98859797608017
"236080_at",4.30497569404681,4.74274994733306,4.97368361937541,4.18809738432225,4.44626608717474,5.01812756527368,4.51259037651556,4.77552681382468,5.24222562697403,4.48125099301449,4.75689108109586,5.12473832908648
"201663_s_at",7.80308146083234,6.99582741465499,7.8180102980737,7.54468725567406,7.51032860683834,7.20570859438749,7.7936091820449,7.33406343864967,7.57481538032566,8.06591414906527,8.20849939116032,7.57542424372826
"209769_s_at",5.33483693499736,5.76482322732835,5.03880878370283,5.66274778353257,5.66602249008565,5.20677099651109,5.78781323937144,5.9485782370036,4.99989509872421,5.7727167099085,6.06762540935792,4.9959047091851
"229587_at",5.39060199357587,5.66322930835787,5.91294825172896,5.5556289563984,5.80408075654198,6.18399992862705,5.24212513283094,5.67438938759356,6.01080409331615,5.47477481432033,6.01547651531187,6.238098643619
"232063_x_at",6.92521281178469,6.32873433324445,6.18479148701345,6.71649592934797,6.57624830247638,6.69057802847918,5.98793739647806,6.73347136656519,6.25792180503607,6.26078717880326,6.41621959399958,6.16708026819983
"203191_at",3.72351151322218,4.06832171318443,3.44713056407054,3.58813932657529,3.58697221445666,4.26712556704783,3.9983877314439,4.13851825128977,3.61415248050026,4.0494096672641,4.21647353462457,3.86755917849896
"208561_at",3.74256160097023,3.41539519877576,3.57346135568381,3.0499240882653,3.31032399974946,3.22554302610072,3.87697516481426,3.12225280610136,3.17298085578888,3.72389353528632,3.20157419147839,2.91261876320775
"207623_at",5.4005872485012,6.16128203273016,5.84777272321581,5.85178046913141,5.72247707334838,5.6386802951461,5.39789696893781,6.35017862818332,6.11828894791495,5.20265029070434,5.61131101236003,5.39239979859424
"224096_at",4.10989049317869,4.18989095035252,4.74641826250556,4.09463416092427,4.12616732828766,4.99093644566285,4.08722318922468,3.91511674471777,4.91106295383924,3.99800982604113,4.09672130429847,4.90177127310724
"238887_at",5.6452994719528,6.13171494914122,5.59707585644592,5.51485522021809,6.19076987543592,5.79407228936169,6.17379343729015,6.15272370860228,5.84869019200643,6.06787038552535,6.14056174078625,5.70341990579506
"1564166_s_at",3.73533860617766,3.77120285529716,3.53252358897889,3.65480265510736,3.94603270891647,3.59759666897094,3.26551152486829,3.86867623117856,3.30735181751629,3.20076202570109,3.41051966772961,3.34980274075268
"1558801_at",6.74577444845372,6.69148253730736,6.76914161561524,6.47134094352839,6.70025402187699,6.02679461513184,6.63540040831126,6.52187023031973,6.28669540137214,6.6557519154045,6.06421320026739,5.88275530653272
"1556206_at",4.26743163413675,4.71279130410186,4.78227022355057,4.63613157232779,4.53671543223338,5.13357246876177,5.10701745311967,4.20305418597315,5.57668031041786,4.64984240187898,4.75005893370061,5.01121627834813
"236304_at",4.07126325361634,3.82216047506203,3.84606744373312,3.28125544867405,2.87240685359872,3.40026636323458,3.28093316780784,3.81896821480391,3.39959547009631,2.81104118747666,2.77818109343815,3.51530962717651
"231809_x_at",8.16049647726971,8.05099317856772,7.63626384418824,8.21732184147712,8.1227587154093,7.62621970662025,7.98101221150294,8.06915407044631,7.39723337315026,8.11191011805932,7.91966064582039,7.62041878579969
"225762_x_at",5.51657893723255,5.18517224105415,4.82435737552098,5.41573495400232,4.87028053258681,4.87138843772648,5.41797023968882,5.6288817612076,4.63701692157836,5.45307847538766,5.37191165449944,4.92230297888542
"1558847_at",3.43331459916372,3.74625361632455,4.16648243040872,3.74625361632455,4.13465037963447,4.13621750578397,3.97855450060159,3.59027143948022,4.25079327390128,3.50662028223359,3.75117558232036,3.90916853514912
"223465_at",7.14435265732569,6.05057005767845,6.36215932280887,6.30363498115188,6.70557275712812,5.63254768340394,6.47971184772356,6.14537005005443,5.80905563578369,6.67916659194152,6.33413377844537,5.99544402461094
"1561273_at",3.63957939986902,4.01610297668285,4.07784705309643,3.7628707459615,3.65959073856443,4.31579383551502,3.6923595623341,4.02748687286352,4.58363587063458,3.82938450061857,4.17183257954307,4.57709728235843
